CO_IES|NO_IES|SGL_IES|CO_MANTENEDORA|NO_MANTENEDORA|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_MUNICIPIO_IES|NO_MUNICIPIO_IES|CO_UF_IES|SGL_UF_IES|NO_REGIAO_IES|IN_CAPITAL_IES|QT_TEC_TOTAL|QT_TEC_FUND_INCOMP_FEM|QT_TEC_FUND_INCOMP_MASC|QT_TEC_FUND_COMP_FEM|QT_TEC_FUND_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_REFERENTE|VL_RECEITA_PROPRIA|VL_TRANSFERENCIA|VL_OUTRA_RECEITA|VL_DES_PESSOAL_REM_DOCENTE|VL_DES_PESSOAL_REM_TECNICO|VL_DES_PESSOAL_ENCARGO|VL_DES_CUSTEIO|VL_DES_INVESTIMENTO|VL_DES_PESQUISA|VL_DES_OUTRAS
1660|CENTRO UNIVERSITÁRIO FACITEC|FACITEC|1086|IESST - INSTITUTO DE ENSINO SUPERIOR SOCIAL E TECNOLOGICO|4|Privada com fins lucrativos|2|Centro Universitário|5300108|Brasília|53|DF|Centro-Oeste|1|96|0|0|10|8|24|21|19|6|3|4|0|1|0|0|1|1|1|27440546.96|0.00|599429.44|6515216.56|2490766.32|2816700.15|4120362.02|0.00|0.00|1224177.93
1663|FACULDADE ARAGUAIA|FARA|1089|SOCIEDADE DE EDUCACAO E CULTURA DE GOIAS S/C LTDA|4|Privada com fins lucrativos|3|Faculdade|5208707|Goiânia|52|GO|Centro-Oeste|1|52|0|0|1|6|19|10|10|5|1|0|0|0|0|0|0|1|2|6881957.94|3610610.40|0.00|3502232.27|979024.05|1508827.97|2501059.55|544614.59|0.00|0.00
1664|FACULDADE DA SAÚDE E ECOLOGIA HUMANA|FASEH|1090|CENTRO DE ENSINO SUPERIOR DE VESPASIANO LTDA|4|Privada com fins lucrativos|3|Faculdade|3171204|Vespasiano|31|MG|Sudeste|0|69|1|2|0|4|19|10|16|7|0|2|4|2|0|2|1|1|1|21475361.38|0.00|966304.23|6445494.46|1788169.23|3660003.45|7193390.53|0.00|0.00|1656593.19
1665|FACULDADE KENNEDY|FK|1091|COLEGIO E FACULDADE KENNEDY LTDA - EPP|4|Privada com fins lucrativos|3|Faculdade|3136207|João Monlevade|31|MG|Sudeste|0|4|1|0|0|1|0|0|0|0|1|0|1|0|0|0|0|0|2|528242.52|0.00|0.00|348696.00|67310.00|82461.00|12320.00|0.00|0.00|7561.00
1666|FACULDADE NOVOS HORIZONTES|NOVOS HORIZONTES|1092|INSTITUTO NOVOS HORIZONTES DE ENSINO SUPERIOR E PESQUISA LTDA.|4|Privada com fins lucrativos|3|Faculdade|3106200|Belo Horizonte|31|MG|Sudeste|1|65|1|0|0|3|14|12|7|3|6|5|3|7|2|2|1|1|1|24266965.00|87700.00|0.00|3505578.00|1604606.00|1844761.00|1820708.00|475356.00|73087.00|2050145.00
1669|INSTITUTO METROPOLITANO DE ENSINO SUPERIOR|IMES|1095|UNIAO EDUCACIONAL DO VALE DO ACO LTDA|4|Privada com fins lucrativos|3|Faculdade|3131307|Ipatinga|31|MG|Sudeste|0|71|0|1|8|4|30|9|9|1|6|1|1|1|0|0|1|0|2|28391658.68|0.00|3450578.33|8877136.70|1465308.53|4477531.50|4886836.45|93961.57|122212.76|1429019.05
1670|FACULDADE ASA DE BRUMADINHO|IECEMB - FAB|1096|INSTITUICAO EDUCACIONAL CECILIA MARIA DE MELO BARCELOS LTDA|4|Privada com fins lucrativos|3|Faculdade|3109006|Brumadinho|31|MG|Sudeste|0|44|1|7|4|0|10|5|4|6|5|2|0|0|0|0|0|1|2|5749394.72|0.00|0.00|1644822.70|675015.91|910226.51|268624.86|648487.62|210608.22|480382.15
1672|INSTITUTO ESPERANÇA DE ENSINO SUPERIOR|IESPES|1098|FUNDACAO ESPERANCA|5|Privada sem fins lucrativos|3|Faculdade|1506807|Santarém|15|PA|Norte|0|83|2|1|8|3|19|21|19|8|2|0|0|0|0|0|0|0|2|16781466.36|130741.31|202041.56|5942146.26|1719142.68|1103523.74|3241790.00|554365.23|304867.02|805231.72
1675|FACULDADE METROPOLITANA DA GRANDE RECIFE|UNESJ|1100|UNIAO DAS ESCOLAS SUPERIORES DE JABOATAO-UNESJ|5|Privada sem fins lucrativos|3|Faculdade|2607901|Jaboatão dos Guararapes|26|PE|Nordeste|0|117|4|10|0|2|23|22|22|11|8|15|0|0|0|0|0|0|1|11919281.74|0.00|0.00|5236326.23|1305021.31|2637960.01|1013967.47|230631.48|0.00|740749.98
1676|FACULDADE SÃO MIGUEL|FACULDADE SÃO MIGUEL|1101|SOCIEDADE CULTURAL E EDUCACIONAL SANTA RITA DE CASSIA LTDA - ME|4|Privada com fins lucrativos|3|Faculdade|2611606|Recife|26|PE|Nordeste|1|34|2|3|4|4|8|4|4|4|1|0|0|0|0|0|1|1|2|6647220.00|0.00|0.00|1301725.00|420611.00|796617.00|2365211.00|446951.00|5313.05|0.00
1677|FACULDADE DE ENSINO SUPERIOR DO PIAUÍ|FAESPI|1102|C VIEIRA SERVICOS - EPP|4|Privada com fins lucrativos|3|Faculdade|2211001|Teresina|22|PI|Nordeste|1|33|0|1|1|2|8|3|4|4|5|3|1|1|0|0|1|1|2|3271973.06|0.00|0.00|957431.81|151147.41|339207.41|57170.98|258923.54|74102.45|70558.12
1678|FACULDADE DE CIÊNCIAS DE WENCESLAU BRAZ|FACIBRA|1103|CENTRO EDUCACIONAL DE WENCESLAU BRAZ-CENEBRA LTDA - ME|4|Privada com fins lucrativos|3|Faculdade|4128500|Wenceslau Braz|41|PR|Sul|0|3|0|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|2|480933.23|0.00|0.00|244320.38|94568.74|127251.70|2100.00|0.00|0.00|0.00
1679|FACULDADE DE CAMPINA GRANDE DO SUL|FACSUL|1104|SOCIEDADE DE ENSINO SUPERIOR DO LESTE DO PARANA LTDA - EPP|4|Privada com fins lucrativos|3|Faculdade|4104006|Campina Grande do Sul|41|PR|Sul|0|10|0|0|0|0|3|0|1|2|3|0|0|1|0|0|0|0|1|1743655.27|0.00|0.00|673041.53|306096.98|324449.59|207652.46|62312.79|0.00|168301.92
1680|FACULDADE DE CIÊNCIAS E TECNOLOGIA MATER CHRISTI|MATER CHRISTI|1105|SOCIEDADE EDUCACIONAL MATER CHRISTI LTDA|4|Privada com fins lucrativos|3|Faculdade|2408003|Mossoró|24|RN|Nordeste|0|19|0|0|1|0|9|1|2|0|4|2|0|0|0|0|0|0|1|2719053.67|1072282.08|51271.27|1092339.90|455041.28|795257.56|838542.12|531250.98|64839.60|65335.58
1682|FACULDADE SALESIANA MARIA AUXILIADORA|FSMA|1107|INSTITUTO N S DA GLORIA|5|Privada sem fins lucrativos|3|Faculdade|3302403|Macaé|33|RJ|Sudeste|0|43|0|2|3|1|13|8|10|6|0|0|0|0|0|0|1|0|2|9403133.91|0.00|0.00|3577703.80|1097864.90|458945.92|781253.60|101763.15|128682.31|623396247.00
1683|FACULDADE PIAUIENSE|FAP|1108|CENTRO DE ENSINO SUPERIOR PIAUIENSE LTDA|4|Privada com fins lucrativos|3|Faculdade|2211001|Teresina|22|PI|Nordeste|1|99|2|0|6|3|31|20|27|8|2|0|0|0|0|0|1|0|2|13594000.00|0.00|29100000.00|91600000.00|69900000.00|302600000.00|343400000.00|0.00|0.00|219000.00
5520|FACULDADE CATHEDRAL|FACES|1109|FACULDADES CATHEDRAL DE ENSINO SUPERIOR|4|Privada com fins lucrativos|3|Faculdade|1400100|Boa Vista|14|RR|Norte|1|105|6|4|10|2|18|39|18|7|1|0|0|0|0|0|1|1|1|14268368.84|0.00|9330204.18|4467376.96|1056655.19|4937740.67|658463.04|557705.63|430000.00|6933010.07
1686|FACULDADE BARDDAL DE ARTES APLICADAS|FB-AA|1110|SISTEMA BARDDAL DE ENSINO LTDA|4|Privada com fins lucrativos|3|Faculdade|4205407|Florianópolis|42|SC|Sul|1|17|1|1|1|0|2|4|3|3|2|0|0|0|0|0|0|0|1|1407521.40|0.00|0.00|505781.25|597481.18|427520.90|310992.61|17518.00|0.00|1953711.67
1685|FACULDADE BARDDAL DE CIÊNCIAS CONTÁBEIS|FB-CC|1110|SISTEMA BARDDAL DE ENSINO LTDA|4|Privada com fins lucrativos|3|Faculdade|4205407|Florianópolis|42|SC|Sul|1|17|1|1|1|0|2|4|3|3|2|0|0|0|0|0|0|0|1|1407521.40|0.00|0.00|505781.25|597481.18|427520.90|310992.61|17518.00|0.00|1953711.67
1689|FACULDADE SANTA IZILDINHA|FIESI|1112|INSTITUICAO DE EDUCACAO SUPERIOR SANTA IZILDINHA LTDA - EPP|4|Privada com fins lucrativos|3|Faculdade|3550308|São Paulo|35|SP|Sudeste|1|31|0|0|0|0|8|5|5|3|2|2|2|2|0|2|1|1|1|8336527.13|0.00|0.00|1466550.12|955726.54|814560.09|1116412.69|2350.00|0.00|11060.56
1690|FACULDADE DE SÃO VICENTE|FSV|1113|UNIAO BRASILEIRA EDUCACIONAL LTDA.|4|Privada com fins lucrativos|3|Faculdade|3551009|São Vicente|35|SP|Sudeste|0|47|0|0|1|3|19|6|5|2|4|2|1|4|0|0|1|0|1|9474184.46|0.00|0.00|1678463.27|701330.75|1312061.68|0.00|0.00|0.00|0.00
1693|FACULDADE ITANHAÉM|FAITA|1115|UNIDADE DE ENSINO SUPERIOR DE ITANHAEM LTDA|4|Privada com fins lucrativos|3|Faculdade|3522109|Itanhaém|35|SP|Sudeste|0|26|0|0|1|1|1|1|2|0|2|6|2|7|3|0|1|1|1|1191103.85|0.00|24053.00|470900.31|235450.15|0.00|0.00|0.00|0.00|105546.63
1694|ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI|ESUCRI|1116|ESUCRI - ESCOLA SUPERIOR DE CRICIUMA LTDA|4|Privada com fins lucrativos|3|Faculdade|4204608|Criciúma|42|SC|Sul|0|28|6|1|0|0|2|2|6|6|4|1|0|0|0|0|1|1|1|17512420.72|1611433.30|0.00|3143151.75|719495.20|1692126.81|0.00|401119.06|0.00|4048953.16
1695|FACULDADE DE EDUCAÇÃO DE BOM DESPACHO|FACEB|1117|INSTITUTO FACEB EDUCAÇÃO|5|Privada sem fins lucrativos|3|Faculdade|3107406|Bom Despacho|31|MG|Sudeste|0|16|0|0|0|0|10|2|3|1|0|0|0|0|0|0|0|0|1|35267795.71|0.00|808897.87|5658158.64|3429154.95|4380842.42|15871342.16|1635439.27|0.00|0.00
15452|Faculdade Presidente Antônio Carlos de Bom Despacho|FAPACBD|1117|INSTITUTO FACEB EDUCAÇÃO|5|Privada sem fins lucrativos|3|Faculdade|3107406|Bom Despacho|31|MG|Sudeste|0|122|0|1|2|1|31|18|32|20|5|7|3|2|0|0|0|0|1|35267795.71|0.00|808897.87|5658158.64|3429154.95|4380842.42|15871342.16|1635439.27|0.00|0.00
1696|FACULDADE CENTRAL DE CRISTALINA|FACEC|1118|SOCIEDADE CENTRAL DE ENSINO SUPERIOR - EPP|4|Privada com fins lucrativos|3|Faculdade|5206206|Cristalina|52|GO|Centro-Oeste|0|9|1|0|0|0|3|1|2|0|2|0|0|0|0|0|0|0|2|909755.75|0.00|0.00|338956.44|343200.08|198971.14|268352.14|0.00|0.00|10745.70
1697|FACULDADE ESCRITOR OSMAN DA COSTA LINS|FACOL|1119|ASSOCIACAO VITORIENSE DE EDUCACAO, CIENCIAS E CULTURA - AVEC|5|Privada sem fins lucrativos|3|Faculdade|2616407|Vitória de Santo Antão|26|PE|Nordeste|0|50|0|0|6|8|9|9|4|3|7|4|0|0|0|0|1|0|1|8622853.07|0.00|0.00|2020405.94|1036441.07|992467.42|1174828.94|1320447.06|442517.47|72941.25
5511|FACULDADE CAMPO REAL|CAMPO REAL|1120|UB - CAMPO REAL EDUCACIONAL S.A.|4|Privada com fins lucrativos|3|Faculdade|4109401|Guarapuava|41|PR|Sul|0|41|4|1|4|0|5|5|8|5|9|0|0|0|0|0|0|1|2|19848153.00|0.00|0.00|3449362.00|1130849.00|1995826.00|2973759.00|4809936.00|15000.00|1700109.00
1699|FACULDADE DE EDUCAÇÃO DE JARU|UNICENTRO|1121|UNICENTRO - UNIAO CENTRO RONDONIENSE DE ENSINO SUPERIOR|5|Privada sem fins lucrativos|3|Faculdade|1100114|Jaru|11|RO|Norte|0|22|0|0|1|0|8|5|1|2|2|2|0|1|0|0|1|0|1|2766896.00|0.00|53000.00|1094000.00|536000.00|590000.00|35000.00|85000.00|25000.00|0.00
1702|ESTÁCIO ATUAL - FACULDADE ESTÁCIO DA AMAZÔNIA|ESTÁCIO ATUAL|1122|SOCIEDADE EDUCACIONAL ATUAL DA AMAZONIA LTDA|4|Privada com fins lucrativos|3|Faculdade|1400100|Boa Vista|14|RR|Norte|1|86|0|0|2|8|18|24|14|8|8|3|1|0|0|0|1|1|1|54813717.44|0.00|50139531.25|7120403.84|4162749.82|3180540.22|12961908.52|0.00|0.00|5940236.98
1703|INSTITUTO DE ENSINO SUPERIOR DE RIO VERDE|IESRIVER|1123|ASSOCIACAO DE ENSINO SUPERIOR DE GOIAS-AESGO|5|Privada sem fins lucrativos|3|Faculdade|5218805|Rio Verde|52|GO|Centro-Oeste|0|87|7|2|12|2|26|8|16|13|1|0|0|0|0|0|1|0|2|5166747.41|0.00|1364674.39|3967433.80|239115.00|1444600.00|239400.00|329545.00|140133.00|706415.11
4163|CENTRO UNIVERSITÁRIO BARRIGA VERDE|UNIBAVE|1124|FUNDACAO EDUCACIONAL BARRIGA VERDE|7|Especial|2|Centro Universitário|4211702|Orleans|42|SC|Sul|0|202|16|7|13|4|30|16|43|15|23|10|8|11|5|1|0|0|1|24487425.88|0.00|3185904.03|7959046.51|2797497.49|3899838.51|3307401.44|2154263.95|78004.35|7099178.10
1707|FACULDADE DE CIÊNCIAS CONTÁBEIS DE RECIFE|FACCOR|1125|ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU|5|Privada sem fins lucrativos|3|Faculdade|2609600|Olinda|26|PE|Nordeste|0|26|0|0|0|1|13|5|5|1|0|1|0|0|0|0|0|0|1|10199870.63|0.00|437994.34|2316217.46|1629650.74|1609307.09|10019595.06|761933.27|0.00|12179.75
1708|INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR|IPESU|1125|ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU|5|Privada sem fins lucrativos|3|Faculdade|2611606|Recife|26|PE|Nordeste|1|34|0|1|0|0|6|9|14|4|0|0|0|0|0|0|0|0|1|10199870.63|0.00|437994.34|2316217.46|1629650.74|1609307.09|10019595.06|761933.27|0.00|12179.75
1706|FACULDADE DE INFORMÁTICA DO RECIFE|FACIR|1125|ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU|5|Privada sem fins lucrativos|3|Faculdade|2609600|Olinda|26|PE|Nordeste|0|26|0|0|0|1|13|5|5|1|0|1|0|0|0|0|0|0|1|10199870.63|0.00|437994.34|2316217.46|1629650.74|1609307.09|10019595.06|761933.27|0.00|12179.75
2566|INSTITUTO DE ENSINO SUPERIOR DE OLINDA|IESO|1125|ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU|5|Privada sem fins lucrativos|3|Faculdade|2609600|Olinda|26|PE|Nordeste|0|26|0|0|0|1|13|5|5|1|0|1|0|0|0|0|0|0|1|10199870.63|0.00|437994.34|2316217.46|1629650.74|1609307.09|10019595.06|761933.27|0.00|12179.75
1992|INSTITUTO DE ENSINO SUPERIOR DE PIEDADE|IESP|1125|ASSOCIACAO PERNAMBUCANA DE ENSINO SUPERIOR - APESU|5|Privada sem fins lucrativos|3|Faculdade|2607901|Jaboatão dos Guararapes|26|PE|Nordeste|0|9|0|0|0|0|4|2|0|3|0|0|0|0|0|0|0|0|1|10199870.63|0.00|437994.34|2316217.46|1629650.74|1609307.09|10019595.06|761933.27|0.00|12179.75
1709|FACULDADE INTEGRADA DE PERNAMBUCO|FACIPE|1126|SOCIEDADE PERNAMBUCANA DE ENSINO SUPERIOR LTDA|4|Privada com fins lucrativos|3|Faculdade|2611606|Recife|26|PE|Nordeste|1|118|4|4|8|10|33|21|26|6|3|2|1|0|0|0|1|1|2|19142253.62|0.00|591810.80|5398636.57|1570695.15|2510688.71|19212675.26|1786839.29|0.00|0.00
1712|FACULDADE DE CIÊNCIAS E TECNOLOGIA DE TERESINA|FACET|1129|ASSOCIACAO PIAUIENSE DE ENSINO SUPERIOR LTDA - ME|4|Privada com fins lucrativos|3|Faculdade|2211001|Teresina|22|PI|Nordeste|1|7|0|0|0|0|1|0|3|1|2|0|0|0|0|0|1|0|1|803720.00|0.00|0.00|257190.00|120558.00|82400.00|42000.00|36000.00|10000.00|6400.00
1713|FACULDADE DE TECNOLOGIA DE SÃO VICENTE|FATEF|1130|FORTEC ASSESSORIA E TREINAMENTO LTDA|4|Privada com fins lucrativos|3|Faculdade|3551009|São Vicente|35|SP|Sudeste|0|26|0|0|1|0|9|4|5|1|4|0|2|0|0|0|1|1|2|1089584.53|0.00|84265.86|302754.38|98593.16|187583.37|73666.72|212222.60|155950.00|45756.62
1790|FACULDADE DO SUL DA BAHIA|FASB|1132|FUNDACAO FRANCISCO DE ASSIS|5|Privada sem fins lucrativos|3|Faculdade|2931350|Teixeira de Freitas|29|BA|Nordeste|0|92|3|2|9|10|21|15|13|6|5|4|3|0|1|0|0|1|1|13763182.02|0.00|304501.81|4125607.69|1165783.17|1916964.00|3065803.96|0.00|0.00|2124328.38
3180|INSTITUTO SUPERIOR DE EDUCAÇÃO UNIÃO DAS AMÉRICAS|UNIAMÉRICA|1133|CENTRO EDUCACIONAL DAS AMERICAS LTDA.|4|Privada com fins lucrativos|3|Faculdade|4108304|Foz do Iguaçu|41|PR|Sul|0|70|6|8|9|5|8|3|13|8|3|2|1|3|0|1|1|1|1|8522257.30|0.00|2114776.17|3464997.45|1708957.23|3485383.69|3885980.71|806314.33|0.00|196351.95
1717|FACULDADE DE IMPERATRIZ|FACIMP|1134|A. REGIAO TOCANTINA DE EDUCACAO E CULTURA LTDA.|4|Privada com fins lucrativos|3|Faculdade|2105302|Imperatriz|21|MA|Nordeste|0|117|5|10|8|9|31|36|7|4|7|0|0|0|0|0|1|1|1|19231287.06|0.00|130102.51|6425243.49|1499329.21|5720389.90|3142532.67|1361096.28|153789.80|0.00
1718|FACULDADE NOBRE DE FEIRA DE SANTANA|FAN|1135|GRUPO NOBRE DE ENSINO LTDA|4|Privada com fins lucrativos|3|Faculdade|2910800|Feira de Santana|29|BA|Nordeste|0|118|1|2|6|7|52|26|10|1|1|0|10|0|2|0|1|1|2|11685448.16|0.00|0.00|3259837.60|1397073.25|1324463.94|1678210.45|1788617.61|43616.30|0.00
1720|FACULDADE MINAS GERAIS|FAMIG|1136|CESMIG - CENTRO DE ENSINO SUPERIOR MINAS GERAIS LTDA - ME|4|Privada com fins lucrativos|3|Faculdade|3106200|Belo Horizonte|31|MG|Sudeste|1|51|2|0|1|3|17|8|11|4|2|1|1|1|0|0|1|1|1|7749697.15|0.00|0.00|1781348.82|361513.83|1206564.90|0.00|215009.74|0.00|2671000.02
1721|FACULDADE DE VIÇOSA|FDV|1137|ASSOCIACAO VICOSENSE DE ENSINO E PESQUISA LTDA - AVEP - VICOSA - EPP|4|Privada com fins lucrativos|3|Faculdade|3171303|Viçosa|31|MG|Sudeste|0|13|2|2|1|0|1|1|4|0|0|1|0|0|0|1|0|0|1|2666229.39|0.00|102005.22|1514037.83|394512.18|637904.79|98787.30|11457.61|0.00|401758.05
1722|FACULDADE DE PORTO VELHO|FIP|1138|EINSTEIN INSTITUICAO DE ENSINO LTDA - EPP|4|Privada com fins lucrativos|3|Faculdade|1100205|Porto Velho|11|RO|Norte|1|62|1|2|4|3|22|14|11|5|0|0|0|0|0|0|1|1|1|1736635.00|0.00|2413604.89|928393.82|881036.39|655579.14|1093936.12|168175.85|0.00|29435.24
1723|ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO|ESAGS|1139|CENTRO DE ENSINO SUPERIOR STRONG|5|Privada sem fins lucrativos|3|Faculdade|3547809|Santo André|35|SP|Sudeste|0|17|0|0|0|0|3|2|4|2|2|3|0|1|0|0|0|1|1|8242708.35|806523.22|63294.62|2129626.85|942205.11|1628365.01|2917084.08|0.00|0.00|885120.33
4943|ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO STRONG DA BAIXADA SANTISTA||1139|CENTRO DE ENSINO SUPERIOR STRONG|5|Privada sem fins lucrativos|3|Faculdade|3548500|Santos|35|SP|Sudeste|0|11|0|0|0|0|1|1|2|3|1|1|0|2|0|0|0|1|1|8242708.35|806523.22|63294.62|2129626.85|942205.11|1628365.01|2917084.08|0.00|0.00|885120.33
1725|FACULDADE XV DE AGOSTO|FAQ|1141|FACULDADES XV DE AGOSTO LTDA - EPP|4|Privada com fins lucrativos|3|Faculdade|3552106|Socorro|35|SP|Sudeste|0|7|0|0|0|0|0|1|2|2|0|2|0|0|0|0|1|1|1|528461.00|0.00|0.00|75172.10|18463.55|48888.57|211891.59|0.00|0.00|19785.53
1726|FACULDADE SANTA AMÉLIA|SECAL|1142|SOCIEDADE EDUCATIVA E CULTURAL AMELIA S/C LTDA - EPP|4|Privada com fins lucrativos|3|Faculdade|4119905|Ponta Grossa|41|PR|Sul|0|56|1|3|5|0|22|4|8|5|5|1|2|0|0|0|1|0|1|6702565.09|0.00|0.00|2150812.52|481421.02|891436.01|480330.79|391100.93|309902.37|96028.12
1727|FACULDADE DE CARIACICA|FAC DE CARIACICA|1143|UNIEST - EDUCACIONAL CENTRO-LESTE S/C LTDA - ME|4|Privada com fins lucrativos|3|Faculdade|3201308|Cariacica|32|ES|Sudeste|0|9|0|0|0|0|2|0|2|2|0|2|0|1|0|0|1|1|1|1954000.00|0.00|384000.00|641592.00|347271.00|385656.57|390200.00|198000.00|38000.00|97400.00
1728|FACULDADE INTERAMERICANA DE PORTO VELHO|UNIRON|1144|UNIRON - UNIAO DAS ESCOLAS SUPERIORES DE RONDONIA LTDA.|4|Privada com fins lucrativos|3|Faculdade|1100205|Porto Velho|11|RO|Norte|1|139|9|6|18|6|44|36|10|4|1|4|0|0|1|0|1|0|1|57937413.91|0.00|759150.44|8646276.30|2161569.07|4246665.65|8434726.76|2726329.62|0.00|1086215.19
1515|FACULDADE DE EDUCAÇÃO DE PORTO VELHO|UNIRON|1144|UNIRON - UNIAO DAS ESCOLAS SUPERIORES DE RONDONIA LTDA.|4|Privada com fins lucrativos|3|Faculdade|1100205|Porto Velho|11|RO|Norte|1|139|9|6|18|6|44|36|10|4|1|4|0|0|1|0|1|0|1|57937413.91|0.00|759150.44|8646276.30|2161569.07|4246665.65|8434726.76|2726329.62|0.00|1086215.19
1732|FACULDADE GENNARI E PEARTREE|FGP|1146|G&P PROJETOS E SISTEMAS S.A.|4|Privada com fins lucrativos|3|Faculdade|3536703|Pederneiras|35|SP|Sudeste|0|12|0|0|0|0|2|0|4|0|0|2|1|1|1|1|1|0|1|1187436.00|0.00|0.00|561835.64|620621.20|412338.90|18670.09|0.00|15000.00|557558.05
1733|FACULDADE DE ENSINO SUPERIOR DE MARECHAL CÂNDIDO RONDON|ISEPE  RONDON|1147|UNIAO RONDONENSE DE ENSINO E CULTURA LTDA|4|Privada com fins lucrativos|3|Faculdade|4114609|Marechal Cândido Rondon|41|PR|Sul|0|6|1|0|0|0|2|1|0|2|0|0|0|0|0|0|1|1|1|1111913.70|0.00|0.00|484005.96|101067.79|146267.18|0.00|0.00|0.00|0.00
1734|FACULDADE INTEGRAL DIFERENCIAL|FACID|1148|INTEGRAL - GRUPO DE ENSINO SUPERIOR DO PIAUI S/C LTDA|4|Privada com fins lucrativos|3|Faculdade|2211001|Teresina|22|PI|Nordeste|1|178|1|4|11|9|61|47|32|3|5|2|3|0|0|0|0|1|1|47334186.33|0.00|688491.99|14290750.20|3436430.92|10403883.18|10964003.08|3796049.59|0.00|2028804.76
1735|FACULDADE DE CIÊNCIAS APLICADAS DOUTOR LEÃO SAMPAIO|FLS|1149|INSTITUTO LEAO SAMPAIO DE ENSINO UNIVERSITARIO LTDA|4|Privada com fins lucrativos|3|Faculdade|2307304|Juazeiro do Norte|23|CE|Nordeste|0|254|0|1|0|5|90|56|48|12|34|8|0|0|0|0|1|1|1|72657836.69|0.00|18618264.12|12197269.90|1593617.57|8707356.73|11591693.43|8924134.27|0.00|1522216.71
1736|CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO|UNILASALLE/RJ|1150|ASSOCIACAO BRASILEIRA DE EDUCADORES LASSALISTAS|5|Privada sem fins lucrativos|2|Centro Universitário|3303302|Niterói|33|RJ|Sudeste|0|151|6|18|3|10|30|37|18|12|12|2|0|2|0|1|0|1|2|16232000.00|0.00|2055054.30|6821584.70|2923536.30|3197879.00|6357384.00|365438.00|0.00|540.00
1739|IMP de Ensino Superior - IMP|IMP|1151|ASSOCIACAO DE ENSINO SUPERIOR DO CENTRO OESTE|5|Privada sem fins lucrativos|3|Faculdade|5300108|Brasília|53|DF|Centro-Oeste|1|2|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|1|51100.00|0.00|0.00|15100.00|6300.00|7169.00|5880.00|0.00|0.00|135000.00
1742|FACULDADE DE TECNOLOGIA CARLOS DRUMMOND DE ANDRADE|CSET DRUMMOND|1152|SOCIEDADE EDUCACIONAL SOIBRA S/S LTDA|4|Privada com fins lucrativos|3|Faculdade|3550308|São Paulo|35|SP|Sudeste|1|68|4|3|4|4|29|16|3|2|0|1|1|1|0|0|1|0|1|10949416.26|0.00|161.77|2091484.68|1394323.12|1704606.87|1480473.10|656974.68|328487.34|550880.56
1743|FACULDADE DE TECNOLOGIA OSWALDO CRUZ|FATEC OSWALDO CRUZ|1153|PROTECNICA PAULISTA LTDA|4|Privada com fins lucrativos|3|Faculdade|3550308|São Paulo|35|SP|Sudeste|1|3|0|1|1|0|0|0|0|0|0|0|1|0|0|0|1|0|1|2034224.00|0.00|0.00|679361.00|250454.00|830884.00|237720.00|0.00|0.00|0.00
1749|FACULDADE LUSO-BRASILEIRA|FALUB|1154|ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA|5|Privada sem fins lucrativos|3|Faculdade|2604007|Carpina|26|PE|Nordeste|0|11|0|0|0|7|0|0|0|2|2|0|0|0|0|0|0|1|1|860430.00|0.00|0.00|451310.00|119042.00|154708.00|0.00|98072.00|37298.00|0.00
1750|UNIDADE DE ENSINO SUPERIOR EXPOENTE|UNIEXP|1155|ASSOCIACAO EXPOENTE DE ENSINO SUPERIOR|4|Privada com fins lucrativos|3|Faculdade|4106902|Curitiba|41|PR|Sul|1|4|1|0|1|0|0|0|2|0|0|0|0|0|0|0|0|0|1|9444636.83|0.00|0.00|857517.00|124683.00|3526.86|0.00|0.00|0.00|1116817.00
